time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-19T21:30:30.167Z,37.3725,36.8705,10,3.9,mwr,47,65,0.135,0.66,us,us6000jq69,2023-04-29T21:57:14.040Z,"24 km SSW of Kahramanmara?, Turkey",earthquake,2.49,1.901,0.058,29,reviewed,us,us
2023-02-19T04:07:41.230Z,37.3021,36.8869,11.749,4.3,mwr,66,63,0.203,0.73,us,us6000jq1g,2023-04-29T21:57:11.040Z,"19 km NE of Nurda??, Turkey",earthquake,5.39,2.78,0.049,40,reviewed,us,us
2023-02-19T04:06:17.623Z,37.2737,36.8291,10,4.2,mb,29,106,0.238,0.63,us,us6000jq1h,2023-04-29T21:57:11.040Z,"14 km NE of Nurda??, Turkey",earthquake,5.11,1.421,0.186,8,reviewed,us,us
2023-02-19T00:56:11.610Z,38.0406,36.2306,6.431,4.3,mwr,69,30,0.395,0.69,us,us6000jq0m,2023-04-29T21:57:10.040Z,"13 km ENE of Saimbeyli, Turkey",earthquake,2.64,4.628,0.052,35,reviewed,us,us
2023-02-18T19:31:31.742Z,38.0696,36.5991,12.158,5,mww,122,33,0.366,0.59,us,us6000jpyq,2023-04-22T21:33:20.040Z,"10 km ENE of Göksun, Turkey",earthquake,3.37,2.577,0.058,29,reviewed,us,us
2023-02-18T05:26:04.931Z,38.073,37.1651,5.16,4,mwr,38,62,0.604,0.79,us,us6000jpun,2023-04-22T21:33:18.040Z,"2 km NW of Ekinözü, Turkey",earthquake,2.63,4.886,0.06,27,reviewed,us,us
2023-02-17T14:58:56.344Z,37.9375,36.3279,6.44,4.4,mwr,60,52,0.357,0.53,us,us6000jpnr,2023-04-22T21:33:16.040Z,"17 km WSW of Göksun, Turkey",earthquake,2.27,4.177,0.063,24,reviewed,us,us
2023-02-16T16:38:32.250Z,37.9197,37.5097,10,4.1,mb,35,83,0.636,0.58,us,us6000jpee,2023-04-22T21:33:14.040Z,"7 km SE of Nurhak, Turkey",earthquake,2.11,1.922,0.302,3,reviewed,us,us
2023-02-15T23:43:38.793Z,37.3595,36.8701,13.697,3.9,mb,27,106,0.329,0.52,us,us6000jp9e,2023-04-22T21:33:12.040Z,"24 km NNE of Nurda??, Turkey",earthquake,3.56,6.035,0.171,9,reviewed,us,us
2023-02-15T22:25:57.731Z,38.0487,36.6395,6.273,4.2,mb,54,38,0.398,0.49,us,us6000jp8t,2023-04-22T21:33:11.040Z,"12 km ENE of Göksun, Turkey",earthquake,3.4,4.737,0.098,29,reviewed,us,us
2023-02-15T07:36:29.833Z,38.0187,36.4651,5.224,4.4,mwr,60,33,0.39,0.67,us,us6000jp25,2023-04-22T21:33:10.040Z,"2 km W of Göksun, Turkey",earthquake,3.4,4.465,0.051,37,reviewed,us,us
2023-02-15T06:25:30.679Z,38.0945,36.7069,10,4.3,mb,66,48,0.386,0.7,us,us6000jp1e,2023-04-22T21:33:09.040Z,"Central Turkey",earthquake,5.08,1.881,0.106,25,reviewed,us,us
2023-02-14T15:50:37.803Z,38.0849,37.166,0.343,4.4,mb,52,54,0.671,0.92,us,us6000jnxk,2023-04-22T21:33:08.040Z,"3 km NW of Ekinözü, Turkey",earthquake,1.55,5.092,0.111,23,reviewed,us,us
2023-02-13T19:20:27.970Z,38.0051,36.42,7.437,4.6,mwr,100,40,0.958,0.89,us,us6000jnmc,2023-04-22T21:33:06.040Z,"Central Turkey",earthquake,4,3.363,0.063,24,reviewed,us,us
2023-02-13T15:15:05.178Z,37.8703,36.2865,10,4.2,mb,46,37,0.293,0.63,us,us6000jnlc,2023-04-22T21:33:05.040Z,"21 km SE of Saimbeyli, Turkey",earthquake,2.25,1.789,0.186,8,reviewed,us,us
2023-02-12T22:52:59.819Z,38.0251,36.6342,10,4.3,mwr,84,55,1.031,0.57,us,us6000jni7,2023-04-22T21:33:04.040Z,"12 km E of Göksun, Turkey",earthquake,4.11,1.83,0.056,31,reviewed,us,us
2023-02-12T19:02:29.312Z,37.2623,37.0849,10,4.3,mb,72,75,0.134,0.66,us,us6000jnh5,2023-04-22T21:33:03.040Z,"31 km SW of Pazarc?k, Turkey",earthquake,4.84,1.892,0.095,31,reviewed,us,us
2023-02-12T18:33:14.268Z,37.3429,36.9989,9.339,4.7,mwr,111,35,0.18,0.7,us,us6000jnh1,2023-04-22T21:33:03.040Z,"27 km SSE of Kahramanmara?, Turkey",earthquake,4.57,3.738,0.071,19,reviewed,us,us
2023-02-12T17:28:17.826Z,38.083,36.6197,10,4.1,mb,33,54,0.36,0.88,us,us6000jngq,2023-04-22T21:33:03.040Z,"12 km ENE of Göksun, Turkey",earthquake,2.25,1.896,0.185,8,reviewed,us,us
2023-02-12T14:30:03.956Z,37.8149,36.7003,10,4.4,mb,32,50,0.347,1.17,us,us6000jng3,2023-04-22T21:33:02.040Z,"29 km SE of Göksun, Turkey",earthquake,5.99,1.913,0.109,24,reviewed,us,us
2023-02-12T08:14:10.398Z,38.0797,37.3193,7.67,4.4,mb,36,62,0.663,0.47,us,us6000jqbp,2023-04-22T21:33:21.040Z,"11 km E of Ekinözü, Turkey",earthquake,3.13,2.103,0.12,20,reviewed,us,us
2023-02-12T04:52:59.139Z,37.9055,37.4792,10,4.1,mb,40,83,0.609,1.14,us,us6000jndz,2023-04-22T21:33:01.040Z,"7 km SSE of Nurhak, Turkey",earthquake,3.43,1.573,0.151,12,reviewed,us,us
2023-02-11T23:30:56.494Z,38.0249,36.4218,10,4.1,mb,83,33,0.382,0.64,us,us6000jncu,2023-04-15T21:39:59.040Z,"6 km W of Göksun, Turkey",earthquake,3.57,1.861,0.084,39,reviewed,us,us
2023-02-11T14:38:03.890Z,37.9428,36.5034,10,4.4,mb,37,55,0.383,0.65,us,us6000jnay,2023-04-15T21:39:58.040Z,"8 km S of Göksun, Turkey",earthquake,4.14,1.408,0.107,25,reviewed,us,us
2023-02-11T12:54:58.944Z,38.0902,36.6163,8.66,4.1,mb,33,44,0.353,0.55,us,us6000jnaq,2023-04-15T21:39:57.040Z,"12 km NE of Göksun, Turkey",earthquake,2.07,7.539,0.214,6,reviewed,us,us
2023-02-11T11:59:53.865Z,37.8492,36.67,8.739,4.2,mb,28,49,0.372,0.45,us,us6000jpp7,2023-04-15T21:40:13.040Z,"24 km SE of Göksun, Turkey",earthquake,3.08,3.86,0.146,13,reviewed,us,us
2023-02-11T11:05:17.347Z,38.1233,36.6274,13.853,4.3,mb,58,48,0.328,0.38,us,us6000jnai,2023-04-15T21:39:57.040Z,"16 km NE of Göksun, Turkey",earthquake,4.21,3.683,0.101,28,reviewed,us,us
2023-02-11T06:28:13.163Z,38.0647,36.5778,8.106,4.6,mb,32,75,0.364,0.53,us,us6000jn97,2023-04-15T21:39:57.040Z,"8 km NE of Göksun, Turkey",earthquake,2.67,5.35,0.173,10,reviewed,us,us
2023-02-11T04:47:04.418Z,37.8165,36.5708,10,4.3,mb,60,49,0.296,0.85,us,us6000jn8d,2023-04-15T21:39:57.040Z,"Central Turkey",earthquake,3.43,1.877,0.114,22,reviewed,us,us
2023-02-10T17:00:51.366Z,37.8868,36.2951,2.087,4.7,mwr,128,34,0.309,0.72,us,us6000jn4r,2023-04-15T21:39:55.040Z,"21 km ESE of Saimbeyli, Turkey",earthquake,2.68,3.738,0.061,26,reviewed,us,us
2023-02-10T01:50:59.593Z,37.8685,36.631,5.225,4.3,mwr,69,40,0.367,0.75,us,us6000jmzj,2023-04-15T21:39:52.040Z,"20 km SE of Göksun, Turkey",earthquake,3.67,3.789,0.06,27,reviewed,us,us
